CO,ANTIOQUIA,ABEJORRAL,VEREDA AURES ARRIBA,5002004
CO,ANTIOQUIA,ABEJORRAL,VEREDA AURES EL SILENCIO,5002005
CO,ANTIOQUIA,ABEJORRAL,VEREDA QUEBRADANEGRA,5002052
CO,ANTIOQUIA,ABEJORRAL,VEREDA QUEBRADONA ABAJO,5002053
CO,ANTIOQUIA,ABEJORRAL,VEREDA QUEBRADONA ARRIBA,5002054
CO,ANTIOQUIA,ABEJORRAL,VEREDA YARUMAL,5002064
CO,ANTIOQUIA,ABRIAQUÍ,CORCOBADO,5004001
CO,ANTIOQUIA,ABRIAQUÍ,EL CEJEN,5004002
CO,ANTIOQUIA,ABRIAQUÍ,LA ANTIGUA,5004003
CO,ANTIOQUIA,ABRIAQUÍ,LA NANCUY,5004004
CO,ANTIOQUIA,ABRIAQUÍ,LA TIMOTEA,5004005
CO,ANTIOQUIA,ABRIAQUÍ,LAS JUNTAS,5004006
CO,ANTIOQUIA,ABRIAQUÍ,MONOS,5004007
CO,ANTIOQUIA,ABRIAQUÍ,PIEDRAS,5004008
CO,ANTIOQUIA,ABRIAQUÍ,POTREROS,5004009
CO,ANTIOQUIA,ABRIAQUÍ,SAN JOSÉ,5004010
CO,ANTIOQUIA,ABRIAQUÍ,SAN RUPERTO,5004011
CO,ANTIOQUIA,ABRIAQUÍ,SANTA TERESA,5004012
CO,ANTIOQUIA,ALEJANDRÍA,CRUCES,5021001
CO,ANTIOQUIA,ALEJANDRÍA,EL CARBON,5021002
CO,ANTIOQUIA,ALEJANDRÍA,EL CERRO,5021003
CO,ANTIOQUIA,ALEJANDRÍA,EL POPO,5021004
CO,ANTIOQUIA,ALEJANDRÍA,EL RESPALDO,5021005
CO,ANTIOQUIA,ALEJANDRÍA,LA INMACULADA,5021006
CO,ANTIOQUIA,ALEJANDRÍA,LA PAVA,5021007
CO,ANTIOQUIA,ALEJANDRÍA,PIEDRAS,5021008
CO,ANTIOQUIA,ALEJANDRÍA,REMOLINO,5021009
CO,ANTIOQUIA,ALEJANDRÍA,SAN JOSE,5021010
CO,ANTIOQUIA,ALEJANDRÍA,SAN LORENZO,5021011
CO,ANTIOQUIA,ALEJANDRÍA,SAN MIGUEL,5021012
CO,ANTIOQUIA,ALEJANDRÍA,SAN PEDRO,5021013
CO,ANTIOQUIA,ALEJANDRÍA,TOCAIMA,5021014
CO,ANTIOQUIA,AMAGÁ,CAMILO C,5030001
CO,ANTIOQUIA,AMAGÁ,EL CEDRO,5030002
CO,ANTIOQUIA,AMAGÁ,EL GUAIMARAL,5030003
CO,ANTIOQUIA,AMAGÁ,EL MORRO,5030004
CO,ANTIOQUIA,AMAGÁ,LA CLARITA 1,5030005
CO,ANTIOQUIA,AMAGÁ,LA CLARITA 2,5030006
CO,ANTIOQUIA,AMAGÁ,LA DELGADITA,5030007
CO,ANTIOQUIA,AMAGÁ,LA FERRERIA,5030008
CO,ANTIOQUIA,AMAGÁ,LA GUALI,5030009
CO,ANTIOQUIA,AMAGÁ,LAS PEÑAS,5030010
CO,ANTIOQUIA,AMAGÁ,MALABRIGO,5030011
CO,ANTIOQUIA,AMAGÁ,MANI DEL CARDAL,5030012
CO,ANTIOQUIA,AMAGÁ,MINAS,5030013
CO,ANTIOQUIA,AMAGÁ,NECHI,5030014
CO,ANTIOQUIA,AMAGÁ,NICANOR RESTREPO,5030015
CO,ANTIOQUIA,AMAGÁ,PIEDECUESTA,5030016
CO,ANTIOQUIA,AMAGÁ,PUEBLITO DE LOS BOLIVARES,5030017
CO,ANTIOQUIA,AMAGÁ,PUEBLITO DE LOS SANCHEZ,5030018
CO,ANTIOQUIA,AMAGÁ,PUEBLITO DE SAN JOSE,5030019
CO,ANTIOQUIA,AMAGÁ,TRAVESIAS,5030020
CO,ANTIOQUIA,AMAGÁ,YARUMAL,5030021
CO,ANTIOQUIA,AMALFI,ARENAS BLANCAS,5031001
CO,ANTIOQUIA,AMALFI,BOQUERON,5031002
CO,ANTIOQUIA,AMALFI,CARACOLI,5031003
CO,ANTIOQUIA,AMALFI,CESTILLAL,5031004
CO,ANTIOQUIA,AMALFI,CRUCERO MATA,5031005
CO,ANTIOQUIA,AMALFI,CRUCES,5031006
CO,ANTIOQUIA,AMALFI,EL CAÑAL,5031007
CO,ANTIOQUIA,AMALFI,EL CASTILLO,5031008
CO,ANTIOQUIA,AMALFI,EL DORADO,5031009
CO,ANTIOQUIA,AMALFI,EL ENCANTO,5031010
CO,ANTIOQUIA,AMALFI,EL GUAICO,5031011
CO,ANTIOQUIA,AMALFI,EL JARDIN,5031012
CO,ANTIOQUIA,AMALFI,EL LAGARTO,5031013
CO,ANTIOQUIA,AMALFI,EL RETIRO,5031014
CO,ANTIOQUIA,AMALFI,EL RIO,5031015
CO,ANTIOQUIA,AMALFI,EL SILENCIO,5031016
CO,ANTIOQUIA,AMALFI,EL TAPARO,5031017
CO,ANTIOQUIA,AMALFI,EL TIGRILLO,5031018
CO,ANTIOQUIA,AMALFI,GUAMOCO,5031019
CO,ANTIOQUIA,AMALFI,GUAYABITO,5031020
CO,ANTIOQUIA,AMALFI,LA ALDEA,5031021
CO,ANTIOQUIA,AMALFI,LA AREIZA,5031022
CO,ANTIOQUIA,AMALFI,LA BLANQUITA - LA ESPERANZA,5031023
CO,ANTIOQUIA,AMALFI,LA CLARA,5031024
CO,ANTIOQUIA,AMALFI,LA CRISTALINA,5031025
CO,ANTIOQUIA,AMALFI,LA GARDENIA,5031026
CO,ANTIOQUIA,AMALFI,LA GURRIA,5031027
CO,ANTIOQUIA,AMALFI,LA GUYANA,5031028
CO,ANTIOQUIA,AMALFI,LA MANGUITA,5031029
CO,ANTIOQUIA,AMALFI,LA MARGARITA,5031030
CO,ANTIOQUIA,AMALFI,LA MARIA,5031031
CO,ANTIOQUIA,AMALFI,LA PICARDIA,5031032
CO,ANTIOQUIA,AMALFI,LA VETILLA,5031033
CO,ANTIOQUIA,AMALFI,LA VIBORA,5031034
CO,ANTIOQUIA,AMALFI,LAS ANIMAS,5031035
CO,ANTIOQUIA,AMALFI,LAS PAVAS,5031036
CO,ANTIOQUIA,AMALFI,LOS MANGOS,5031037
CO,ANTIOQUIA,AMALFI,LOS TOROS,5031038
CO,ANTIOQUIA,AMALFI,MANZANILLO,5031039
CO,ANTIOQUIA,AMALFI,MARIA TERESA,5031040
CO,ANTIOQUIA,AMALFI,MONDRAGON,5031041
CO,ANTIOQUIA,AMALFI,MONOS,5031042
CO,ANTIOQUIA,AMALFI,MONTEBELLO,5031043
CO,ANTIOQUIA,AMALFI,NARANJAL,5031044
CO,ANTIOQUIA,AMALFI,NARANJITOS,5031045
CO,ANTIOQUIA,AMALFI,PINTO LIMON,5031046
CO,ANTIOQUIA,AMALFI,POCORÓ,5031047
CO,ANTIOQUIA,AMALFI,PORTACHUELO,5031048
CO,ANTIOQUIA,AMALFI,RISARALDA,5031049
CO,ANTIOQUIA,AMALFI,ROMAZON,5031050
CO,ANTIOQUIA,AMALFI,SALAZAR,5031051
CO,ANTIOQUIA,AMALFI,SAN ANTONIO,5031052
CO,ANTIOQUIA,AMALFI,SAN MIGUEL,5031053
CO,ANTIOQUIA,AMALFI,SONADORA,5031054
CO,ANTIOQUIA,AMALFI,TINITA,5031055
CO,ANTIOQUIA,AMALFI,TINTACITA,5031056
CO,ANTIOQUIA,ANDES,ALTO CAÑAVERAL,5034001
CO,ANTIOQUIA,ANDES,ALTO DEL RAYO,5034002
CO,ANTIOQUIA,ANDES,ALTO SENÓN,5034003
CO,ANTIOQUIA,ANDES,BAJO CAÑAVERAL,5034004
CO,ANTIOQUIA,ANDES,CALIFORNIA,5034006
CO,ANTIOQUIA,ANDES,CASCAJERO,5034007
CO,ANTIOQUIA,ANDES,CHAPARRALITO,5034008
CO,ANTIOQUIA,ANDES,EGIPTO,5034009
CO,ANTIOQUIA,ANDES,EL BARCINTO,5034010
CO,ANTIOQUIA,ANDES,EL CARDAL,5034011
CO,ANTIOQUIA,ANDES,EL CEDRON,5034012
CO,ANTIOQUIA,ANDES,EL CHISPERO,5034013
CO,ANTIOQUIA,ANDES,EL CRUCERO,5034014
CO,ANTIOQUIA,ANDES,EL IGNACIO,5034015
CO,ANTIOQUIA,ANDES,EL LÍBANO,5034016
CO,ANTIOQUIA,ANDES,EL ROJO,5034017
CO,ANTIOQUIA,ANDES,EL TAPADO,5034018
CO,ANTIOQUIA,ANDES,GUAIMARAL,5034019
CO,ANTIOQUIA,ANDES,LA AGUADA,5034020
CO,ANTIOQUIA,ANDES,LA ARGENTINA,5034021
CO,ANTIOQUIA,ANDES,LA AVANZADA,5034022
CO,ANTIOQUIA,ANDES,LA BODEGA,5034023
CO,ANTIOQUIA,ANDES,LA BORRAJA,5034024
CO,ANTIOQUIA,ANDES,LA CEDRONA,5034025
CO,ANTIOQUIA,ANDES,LA CLARA,5034026
CO,ANTIOQUIA,ANDES,LA COMUNA,5034027
CO,ANTIOQUIA,ANDES,LA CRISTALINA,5034028
CO,ANTIOQUIA,ANDES,LA ERMITA,5034029
CO,ANTIOQUIA,ANDES,LA ESPERANZA_HOYO GRANDE,5034030
CO,ANTIOQUIA,ANDES,LA LEGIA,5034031
CO,ANTIOQUIA,ANDES,LA MANUELA,5034032
CO,ANTIOQUIA,ANDES,LA MESENIA,5034033
CO,ANTIOQUIA,ANDES,LA PIEDRA,5034034
CO,ANTIOQUIA,ANDES,LA PRADERA,5034035
CO,ANTIOQUIA,ANDES,LA ROCHELA,5034036
CO,ANTIOQUIA,ANDES,LA SIRIA,5034037
CO,ANTIOQUIA,ANDES,LA SOLEDAD,5034038
CO,ANTIOQUIA,ANDES,LA SOLITA,5034039
CO,ANTIOQUIA,ANDES,LAS COLONIAS,5034040
CO,ANTIOQUIA,ANDES,LAS FLORES,5034041
CO,ANTIOQUIA,ANDES,MEDIA LUNA,5034042
CO,ANTIOQUIA,ANDES,MONTE BLANCO,5034043
CO,ANTIOQUIA,ANDES,MONTE VERDE,5034044
CO,ANTIOQUIA,ANDES,ORIZABA,5034045
CO,ANTIOQUIA,ANDES,PALESTINA,5034046
CO,ANTIOQUIA,ANDES,RESERVA FORESTAL,5034047
CO,ANTIOQUIA,ANDES,RIO CLARO,5034048
CO,ANTIOQUIA,ANDES,RISARALDA,5034049
CO,ANTIOQUIA,ANDES,SAN AGUSTIN,5034050
CO,ANTIOQUIA,ANDES,SAN ANTONIO,5034051
CO,ANTIOQUIA,ANDES,SAN BARTOLO,5034052
CO,ANTIOQUIA,ANDES,SAN CARLOS,5034053
CO,ANTIOQUIA,ANDES,SAN FERNANDO,5034054
CO,ANTIOQUIA,ANDES,SAN GREGORIO,5034055
CO,ANTIOQUIA,ANDES,SAN JULIAN,5034056
CO,ANTIOQUIA,ANDES,SAN MIGUEL,5034057
CO,ANTIOQUIA,ANDES,SAN PEDRO ABAJO,5034058
CO,ANTIOQUIA,ANDES,SAN PEDRO ARRIBA,5034059
CO,ANTIOQUIA,ANDES,SAN PERUCHO,5034060
CO,ANTIOQUIA,ANDES,SANTA ELENA,5034061
CO,ANTIOQUIA,ANDES,SANTA ISABEL,5034062
CO,ANTIOQUIA,ANDES,VALLE UMBRÍA,5034063
CO,ANTIOQUIA,ANDES,YARUMAL,5034064
CO,ANTIOQUIA,ANGELÓPOLIS,CIENAGUITA,5036001
CO,ANTIOQUIA,ANGELÓPOLIS,EL BARRO,5036002
CO,ANTIOQUIA,ANGELÓPOLIS,EL NUDILLO,5036003
CO,ANTIOQUIA,ANGELÓPOLIS,LA CASCAJALA,5036004
CO,ANTIOQUIA,ANGELÓPOLIS,LA CLARA,5036005
CO,ANTIOQUIA,ANGELÓPOLIS,LA ESTACIÓN,5036006
CO,ANTIOQUIA,ANGELÓPOLIS,PROMISIÓN,5036007
CO,ANTIOQUIA,ANGELÓPOLIS,ROMEDAL,5036008
CO,ANTIOQUIA,ANGELÓPOLIS,SAN ISIDRO,5036009
CO,ANTIOQUIA,ANGELÓPOLIS,SANTA ANA,5036010
CO,ANTIOQUIA,ANGELÓPOLIS,SANTA BARBARA,5036011
CO,ANTIOQUIA,ANGELÓPOLIS,SANTA RITA,5036012
CO,ANTIOQUIA,ANGOSTURA,ALTO RHIN,5038001
CO,ANTIOQUIA,ANGOSTURA,BATEA SECA,5038002
CO,ANTIOQUIA,ANGOSTURA,CAÑAVERAL ABAJO,5038003
CO,ANTIOQUIA,ANGOSTURA,CAÑAVERAL ARRIBA,5038004
CO,ANTIOQUIA,ANGOSTURA,CHOCHO ESCUELA,5038005
CO,ANTIOQUIA,ANGOSTURA,CHOCHO LOMA,5038006
CO,ANTIOQUIA,ANGOSTURA,CHOCHO RIO,5038007
CO,ANTIOQUIA,ANGOSTURA,CONCEPCION,5038008
CO,ANTIOQUIA,ANGOSTURA,DOLORES,5038009
CO,ANTIOQUIA,ANGOSTURA,EL OLIVO,5038010
CO,ANTIOQUIA,ANGOSTURA,EL SOCORRO,5038011
CO,ANTIOQUIA,ANGOSTURA,EL TAMBO,5038012
CO,ANTIOQUIA,ANGOSTURA,GUAJIRA ABAJO,5038013
CO,ANTIOQUIA,ANGOSTURA,GUAJIRA ARRIBA,5038014
CO,ANTIOQUIA,ANGOSTURA,GUANTEROS,5038015
CO,ANTIOQUIA,ANGOSTURA,GUASIMO,5038016
CO,ANTIOQUIA,ANGOSTURA,LA CULEBRA,5038017
CO,ANTIOQUIA,ANGOSTURA,LA MILAGROSA,5038018
CO,ANTIOQUIA,ANGOSTURA,LA MONTAÑA,5038019
CO,ANTIOQUIA,ANGOSTURA,LA MUÑOZ,5038020
